currenthost,metshsource,rep,block,embed,penet,hemocy,totalspore,hemocyperspore,bodysize,proppenet,gutwidth1,gutwidth2,gutwidth3,gutthick1,gutthick2,gutthick3,gutwidth,gutthick,infection
dent,dent,9,2,6,0,0,6,,1240.58,0,15.62,14.89,18.61,51.1,48.94,48.93,16.37333333,49.65666667,1
dent,dent,10,2,2,7,26,9,3.714285714,1350.22,0.777777778,16.2,15.31,17.49,49.03,55.38,53.37,16.33333333,52.59333333,0
dent,dent,11,2,1,1,4,2,4,1445.38,0.5,18.05,17.18,17.92,53.47,57.79,59,17.71666667,56.75333333,0
dent,dent,12,2,4,4,4,8,1,1389.12,0.5,17.51,16.08,16.79,55.37,48.4,48.94,16.79333333,50.90333333,0
dent,dent,13,2,1,2,20,3,10,1430.45,0.666666667,17.04,18.76,19.01,55.24,59.11,60.86,18.27,58.40333333,0
dent,dent,14,2,2,2,6,4,3,1401.72,0.5,15.8,16.88,16.45,55.49,52.65,49.61,16.37666667,52.58333333,0
dent,dent,15,2,1,4,5,5,1.25,1449.63,0.8,13.28,15.64,13.7,61.75,60.29,55.98,14.20666667,59.34,0
dent,dent,16,2,1,10,22,11,2.2,1400.94,0.909090909,15.41,16.94,17.07,56.45,56.23,60.16,16.47333333,57.61333333,0
dent,dent,17,2,2,2,2,4,1,1367.23,0.5,14.8,15.31,15.23,55.34,57.36,59.02,15.11333333,57.24,0
dent,dent,18,2,2,4,10,6,2.5,1397.86,0.666666667,16.92,16.92,17.5,50.25,54.56,57.04,17.11333333,53.95,0
dent,dent,19,2,3,0,0,3,,1401.05,0,16.72,18,17.81,58.1,57.34,49.73,17.51,55.05666667,0
dent,dent,20,2,4,0,0,4,,1418.06,0,13.1,16.55,17.05,54.67,55.01,59.59,15.56666667,56.42333333,0
